observation_1,observation_2,hypothesis_1,hypothesis_2,label
Who doesn't love pizza?,The kitten and Sam are now best friends.,Sam was walking home with a pizza pie when he found a kitten and shared some cheese with it.,Sam was eating all alone at a party one day when he noticed a stray kitten to share his pizza with.,2
Jeff needed money to buy a car.,His mom was happy with his work ethic so she helped pay for the rest!,Jeff managed to spend a lot of time.,Jeff got two jobs so he could get the money for a car.,2
Billy wanted to walk with his dog in the pet parade.,But Billy's dog turned and headed him in the opposite direction.,He wanted his dog to go sing a song.,Bill hoped his rambunctious pup would follow the other dogs.,2
Jane was out for a walk.,She took a hot shower and dried her clothes.,Suddenly it began to snow.,Suddenly it began to warm up.,1
I bought a used computer.,I realized whoever used to own the computer was very creative!,There were a lot of old poems in the documents folder.,"When I explored the files on it, I found lots of blank pages.",1
Willie walked his neighbor's dog often,Willie bo longer walks the dog.,Willie got beat up by the neighbors dog one day.,Willie's neighbor then got better and was able to walk the dog.,2
Ivan put five hundred dollars into the stock market.,Ivan lost all of his money.,Ivan's stock went up a lot.,Ivan didn't understand how stocks work.,2
Larry never had seen snow in his entire life.,He will never leave Florida again.,Larry had to shovel five centimeters of snow off the porch.,He traveled to Vermont on vacation and was trapped for days by a record snowfall.,2
There was a power outage in the neighborhood due to the thunderstorm.,They also participated in several activities such as cooking.,Everyone had to do things together.,The towns community center canceled their meeting.,1
"Yesterday, I needed to buy a belt so I went to the mall.",I picked out a great belt and left feeling excellent!,Then is aw a selection of nice belts.,There is a selection of fruit.,1
Zach's family were spending thanksgiving together.,The rest of his family cleaned the house and had breakfast together.,Zach had to leave for work the next day.,Zach cooked the turkey.,2
Lucy and Rick bought a house for a good price.,Then they sold the beautifully renovated house for a huge profit.,They renovated the house and flipped it.,The house burnt down the day after they bought it.,1
Laura had a passion for art.,Laura never painted again.,Laura was successful with her drawings.,Laura's art teacher was a mean person.,2
The monster banged on the wall.,"With a final loud thump, her father hung the wall clock.","It stopped banging and when she turned to look, it was her father silently hanging something.",The monster's father told her to stop doing that.,2
Connie loves making crafts for the holidays.,She is much more cautious while using the scissors now.,"While making a paper snowman, she cut herself with scissors and had to be rushed to the hospital.",Connie was busy cutting fabric. Connie didn't notice she cut right through all the fabric.,1
I had a date to play chess online with my friend Mick.,We never got to play.,we ended up talking all night.,I ended up vomiting all night.,1
"My friend has two cats, and they're not very alike.","Over time, even mean cats can warm up to people.",The mean cat started to attack humans for no reason.,"Recently, one that always hissed at me came near me.",2
I've never wanted kids.,"After watching her, it changed my outlook on wanting kids!",But the condom broke.,"My sister recently had a child, and she was close to the child in the months following her birth.",1
Sally's two dogs love to ride in in her car.,"Once the errands were done, the dogs were not happy to go back home.",Sally took the dogs with her when she had to run errands.,Sally took her drugs on errands.,1
Skip liked to eat candy.,He didn't eat candy for a week.,Skip ate apples and threw up.,Skip got a toothache.,2
Ruth was playing video games.,She won the game easily.,Ruth started playing a new game.,Ruth challenged her friend to a game of golf.,1
The radio DJ got into a big country music binge.,The crowd had none of it and stormed the station.,The DJ wouldn't play any other type of music that was requested.,The audience wanted the DJ to return to his home country.,1
I've always wanted to be able to bike thirty miles at one time.,Now I can bike 30 miles.,I rode a little further every day.,I decided to run instead.,1
The principal of Brandon's school was retiring this year.,Everyone clapped for the new guy.,At a school assembly the new principal was introduced.,The school held an assembly to usher out the new principal.,1
Mike has been looking for extra sources of income this summer.,He decided to look for other sources of income.,Mike mowed lawns but did not make very little money at it.,Mike did not want to be a fisherman.,2
Ron started his new job as a landscaper today.,His boss commends him for a job well done.,Ron followed specifications and took extra gum to get the job done.,Ron followed specifications and took extra miles to get job done.,2
Sam and Ellie met at adult education classes.,And soon they were reading each other books on their dates!,They both liked movies and hit it off immediately.,Sam and Ellie both liked to read books.,2
Tracy's cat was named Bob.,Bob still has fleas.,Tracy used an expensive vet treatment on her cat.,"Tracy would never give her cat, Bob a bath.",2
Luca was baptized in the Catholic church.,Luca flew to Syria to join Isis.,Luca began talking to an Irish man on the internet and fell in love with him.,Luca hated the Church.,2
Ray's teacher told the class to be quiet as she passed out tests.,Ray felt helpless.,Ray scanned the test and didn't know the answers.,Ray's teacher had to go to the bathroom but was afraid to ask.,1
I've set a goal to lose thirty pounds by the end of June.,"When I finished, I was exhausted but I felt wonderful.",During the first day I worked out for three hours straight in order to jump start my diet.,I finished a rigorous workout program.,1
Megan had recently put up her Christmas tree.,Unfortunately it was too tall combined with the tree and wouldn't fit.,Megan tried to put the tree topper on the floor next to her tree.,Megan placed the star at tree top.,2
Maggie noticed a bat was flying around her ceiling.,Maggie's cat was dead.,Maggie wondered why her cat did not catch the bat.,The cat scratched and killed the bat.,1
As a child I often went too my grandma's house.,Her home is now a place I take my children.,She always treated me poorly and I hated going to her house.,She always treated me kindly and I loved going to her house.,2
Phineas and his son were stuck in the ditch.,After an hour someone came by and helped them get out.,Phineas and his son thought no one would come.,Phineas and his son had passed away.,1
Sammy always claimed to make the perfect pancake.,He was the clear winner.,He judged a pancake making contest.,Sammy entered into a competition after working hours on it.,2
Julie bought a cat today.,Julie is excited to have Lily in her life.,SHE ABANDONED IT.,The cat cuddled with Julie.,2
Victor idolized mike tyson.,He got a lot of attention and fame.,He met Mike Tyson one day at the mall. His friends knew that he had met him.,Mike Tyson is a former soccer player.,1
Janice and Alma were two friends who went out to eat one day.,"Eventually, the guy went and sat with them and they all ate together.",Alma noticed a guy looking at Janice.,"They wanted to eat alone, so Janice and Alma pretended they didn't see their other friend.",1
We went to the mall to buy christmas presents.,We just let them have it and tried to find a new spot at the mall.,We tried to park in a space someone was waiting for.,There was 1 toy left and another person hated it.,1
My girlfriend and I messed up the bed pretty bad.,We finished by placing the pillows decoratively.,We decided to make the bed and straighten the blankets.,We decided to clean the bed after work.,1
Gina's mom was going to her younger brothers house.,"If her siblings were going to have fun, so was she.",The kids loved playing with Ginas mom.,Gina wanted to go to her brother's house too.,2
A man was having a panic attack.,He never had a panic attack again.,A fairy came down and stopped the mans panic attack.,He decided to go see a doctor and get therapy for his anxiety but it failed.,1
Danny loved baking doughnuts for his friends and family.,Danny's shop became one of the most popular places in town!,He opened up a aquarium shop.,Danny decided to open up his own doughnut shop.,2
Jenny was a photographer.,"After they were done, the couple promised to leave a positive review.",Jenny forgot her camera to take photographs.,She took photos for free of a poor couple.,2
Kayla wanted to look her best for her date.,Her date complimented her and said she looked great.,Kayla went to the hair salon and got a new hairdo and her makeup done.,Kayla took libterties with her clothes and makeup.,1
Marty loved taking pictures.,Marty's photoset was featured in the newspaper.,Marty lost his camera one day.,He shot and printed a thoughtful series on the progress of the seasons.,2
Gina was at the grocery store near her home.,"Gina let out a big sigh, knowing this was going to be a long wait.",Gina was the only person in line.,Gina went during peak time.,2
Francis noticed that he had a toothache.,He was happy when the dentist fixed his toothache.,Francis made an appointment and went to the doctor to get the tooth looked at.,Francis lost a tooth at the dentist's.,2
Garry was nervous about his grades.,Garry and his coach agreed that Nike makes good sneakers.,Garry's coach rewarded him for his good grades with new shoes.,Despite his misgivings Garry became valedictorian & Adidas picked him up as a sponsor providing years of footwear.,1
David was having trouble sleeping at night.,"The next night, he took too many of them, and never woke up again.",David refused to take sleeping pills.,He decided he'd take some sleeping pills.,2
Betty loved presents.,That she should give a little to get a little.,She often gives presents back.,She bought shoes for all.,1
Dan was making dinner for his family,The salad was ready to eat!,he chopped up a lot of vegetables while cooking.,Dan hadn't purchased anything for salad.,1
A scientist discovers that there is a disease beginning to spread.,They feel foolish for having done so.,The scientist warns everyone then realizes he was wrong.,They accidentally contamined themselves with the spread.,1
It was Amy's first day in the first grade.,Amy felt like a big kid for the first time.,Amy walked to school with her parents.,Amy walked to school with her little sister.,2
Sue was excited to plant her first garden.,The seed packets no longer marked the rows but lay all over the yard.,She spent hours getting it perfect.,Sue left seeds outside in a storm.,2
Billy wanted to become a doctor.,He never regretted his decision.,Billy studied hard and became a doctor.,Billy's father finally became a doctor and worked very hard everyday.,1
Amy decided to move from Wisconsin to Florida.,"However, she discovered Alaska was a lot of fun.",Amy did not think Alaska would be and decided not to take a trip there before the move.,Amy did not think Alaska would be fun but decided to take a trip there before the move.,2
Nell loved to walk in the field behind her house.,She turned around to see her house far in the distance.,She walked way too far and got lost.,She walked way too far and got thirsty.,2
Larry was using his wife's laptop,Larry confronted her about it and they're filing for divorce.,Larry saw a pop-up ad from her favorite website.,"While on the laptop, an email popped up from another man, her secret lover.",2
The researcher observed the tiger from behind a bush.,The researcher was so excited to experience such a sight!,They find the tiger.,The tiger was eating a cub.,1
I was really nervous before my first middle school dance.,I drove her to iHop for pancakes and shakes.,My date wanted to get something to eat before the dance.,"My date wanted to get something to eat before the dance, but we were late.",1
Amy and her friends were watching a movie at Lynn's house.,"The embarrassed man changed the channel, and left quietly.",The girls quietly turned the TV to some porn not realizing her Father just came home.,Amy saw a sex scene in the movie.,1
My family was on vacation in Italy.,Munich looked good in the picture's background.,We also visited Munich and took photos.,We also visited Paris and took photos.,1
Garry was nervous about his grades.,"If Garry doesn't improve his grades, he will be off the team.",Gary spent all his time playing football & not studying.,Garry's coach said his grades were good and he could stay on the team.,1
Lisa wanted to see her favorite band's concert.,Lisa went to the concert with her friends and had fun.,"Lisa went online, but tickets were sold out.",Lisa also invited her friends to the concert.,2
Barry loved to scavenge for young saplings in the forest.,They bought every last one of Barry's baskets!,"Barry made baskets, and sold them at an event.",Barry used the saplings to make figurines to sell to people at the weekend market.,1
Terry was walking through the city park,Terry soon studied chess and began playing himself.,Terry noticed people playing chess in the part.,Terry saw people playing golf and was fascinated by the game.,1
Sadie was on a huge hike.,Luckily she pushed herself and managed to reach the peak.,Sadie almost gave down mid way.,Sadie wanted to go to the top.,2
April was not feeling well when she woke up.,The medicine worked and she went back to school the next day.,April went to the Dr. and got some disease.,April took night time medicine.,2
Jane was at a grocery store.,And only bought almond milk from then on.,Jane found out that almond milk was better for you.,Jane spilled almond milk while at the store.,1
Marcus wanted to join his high school football team.,At the end of tryouts he made the team and was very proud.,Marcus went to try out day and tried out.,Marcus practiced hockey really hard.,1
Jimmy's dad took him to see his favorite baseball team.,"Leaping up, Jimmy was thrilled to successfully catch the ball!",Jimmy saw a homerun ball headed toward him.,Jimmy threw the ball near his dad.,1
Stan's toddler flushed something down the toilet.,Then he retrieved Stan's son's toy from the pipes!,A plumber arrived and turned off the water.,He realized that it was his son's toy and clogged up the pipes.,1
"While I was in college, I had met an older man.",I have negative memories of that time.,"He was very creepy, and I was glad to cut him out of my life.",The younger man became mean to me and I had to leave.,1
"I've always wanted a dog, but my mom thinks I'm irresponsible.","On my birthday, I got a golden retriever puppy!",I showed her I wasn't responsible.,My mom surprised me with exactly what I wanted.,2
Jan's parents won't stop pestering her about being single.,Her parents buy the act and leave happy.,jans parents stop talking about it.,Jan tells her parents shes married.,2
Sherry and her oldest daughter don't often see things eye to eye.,It's hard to image two people who are more different.,"Sherry and her son don't look alike, but they think alike.",Sherry and her oldest daughter are frequently disagreeing on many subjects.,2
John blinked his eyes and read the sign again.,The prankster who had hacked the sign enjoyed the chaos he had caused.,The sign he created was totally changed from his creation.,Someone had left the sign as stop instead of yield.,1
I came out of my class and walked to my locker.,She took me to the school's nurse.,I hurt my hand and the teacher found me.,Sarah accidentally bumped into me and fell pretty hard.,1
Crissy wanted to see the new movie coming out.,Crissy never sees the movie.,She was able to find parking as the theater was empty.,Crissy forgot about it after the commercials stopped.,2
Last week I went rappelling with my friends.,However thankfully i repelled safely.,we had an accident.,It was very slippery and low.,1
Lisa got a new toothbrush.,Lisa always bought soft toothbrushes from then on.,It was the first soft bristle tooth brush Lisa ever bought.,Lisa used the toothbrush and it was too short and scraped her gums.,1
Nate came out of the doctor's office.,Nate immediately got up and cleaned himself.,Nate saw the doctor trip and fall on a patch of grass.,Nate fell and got dirty.,2
We had cats in our workplace.,She got sick and went home.,One of the employees is allergic to peanuts.,Karen didn't know she was allergic to the cats.,2
Little Timmy loved making home movies.,His parents were worried after they read his new script.,Timmy wrote a horrible script.,Timmy wrote a wonderful script.,1
Matthew is not allowed to eat or drink near the computer.,Matthew looses computer privileges for a month.,Matthew had a cup of water at the computer.,Matthew had an empty cup at the computer.,1
I was inside of a comic shop.,"I went home and read it, and really liked it.",I found a Spiderman I'd never seen.,I bought a tragedian.,1
A Senator opposed a bill.,"It passed, ninety-nine to one.",They were know for being right.,He was in a minority on this bill.,2
Lucy had a test tomorrow at school and she barely studied.,Lucy failed the test because she had not studied.,Lucy stayed up all night studying for the test.,Lucy chose not to study.,2
Linda went to buy some frozen yogurt.,Linda was very disappointed.,They didn't have her favorite flavor there.,The store in Linda's neighborhood was closed.,1
Timmy was told many times not to play ball in the house.,"Since no one would admit it, the family vacation was cancelled.",Timmy broke the mirror but wouldn't admit it.,Timmy still played and broke a nail.,1
Terry had a birthday and went to his favorite restaurant.,The waiter did not sing so Terry sang to himself.,Terry was excited to have happy birthday sang to him.,Terry thought that the restaurant staff forget about his birthday.,1
Mary-Anne was feeling lonely and decided to adopt a cat.,She took the cat home with her.,Mary-Anne found an affectionate and cute cat.,She saw a pitiful looking cat at the pet store.,1
I used to work on Mechanical Turk,Amazon decided to ban me.,I made too much debt.,I made too much money.,2
"Bill had relocated to a new town, and needed to find a gym.","After visiting, Bill became a proud member of the gym.",He checked his phone for the closest gym to him.,He checked his phone for the closest cafe to him.,1
I left work grumpy because it was a long day.,A nice lady helped me up and called an ambulance.,I was tired and fell down.,"When walking home, I stepped over a rock on the ground.",1
Kate went into labor on Monday morning.,The doctor delivered Kate's baby.,Her water broke and she was in pain on the way to the hospital.,Kate told the nurse to get a midwife.,1
My back was aching from work.,My back felt much better afterwards.,I decided to stand up for a bit.,I went to see the Chiropactor for an adjustment.,2
Joan's grandma had to go to a nursing home.,"She packed the jars, dusted them, and put them on a shelf at home.",Joan's grandma is getting very old and she was doing unwanted things in home.,Joan took some jars her grandma couldn't stand anymore.,1
Ned went on vacation in Peru.,Ned managed to make it to the top with the porter's assistance.,He had too much luggage to carry at the hotel.,Ned's hotel room was on the first floor thankfully as the elevators weren't working.,1
The giraffe tried to eat the leaves.,The Giraffe ate all the leaves on the tree.,He was no longer starving and was finally full.,He was starving and was not getting full.,2
Frank loves to go to this certain deli by his apartment.,Now Frank has to find a new place to eat a sandwich.,Frank's favorite deli opened.,Frank was sad to learn the deli closed.,2
Tom thought he was an amazing chess player.,Tom was both amazed and humbled at his dad.,Tom's dad couldn't beat him at chess.,Tom played his dad and lost the chess game.,2
Elizabeth is a very proper woman.,"Elizabeth fell over and landed right in the puddle, getting muddy.",She often sticks her hands in the air as if to raise the roof.,Elizabeth wore high heels on a rainy day.,2
Jess had a job as a aircraft cleaner.,Her boss told her to stop keeping books!,Jess loves all the books that she finds on the planes.,Jess never kept books on the side and was very tired.,1
The Smith's could not find their cat.,The Smith's cat meowed at the front door.,The Smiths cat escaped out of the front door.,The Smith's cat escaped to the basement.,1
Jed followed the instructions to compile Chromium OS.,"Finally he gave up, and learned to love Windows.",Jed found it very easy to compile.,It was very difficult though.,2
"Arthur was smitten with the boss's daughter, Anka.",It wasn't long before he learned first hand of her peanut allergy.,Arthur worshipped her from afar.,Arthur made Anka a wonderful peanut brittle.,2
Last April I woke to the sound of tornado sirens.,When it was over we looked outside at the destruction.,April spent the night in the basement.,I had to go outside to wait out the tornado.,1
My friend had a Yerbie Frisbee that goes really far.,We never saw that Frisbee again.,My friend threw the frisbee a foot.,A dog came along and took it.,2
Ashley was going to the cafeteria for lunch.,After that she was the only one in the lunch line!,She got in line for lunch with everyone else.,People learned a cheese burger is not on today's menu.,2
Mike decided to volunteer for a farm.,But he was given lots of free vegetables.,Mike didn't actually like it very much.,It was fun work for a lot of pay.,1
Me and my friends were hanging out.,"Afterwards, we went to a diner and got food.",We felt full when we were hanging out.,We got bored and started playing a video game. Then we got hungry.,2
Ana had been putting off doing laundry.,Ana took several hours drying medicinal herbs.,Other things had to do her first though.,She had to do other things first though.,2
Leo showed me a trick at movie theaters last week.,"It smelled fresh, and I was glad someone had been so wasteful earlier!",He said people leave things behind. We found sanitiser!.,Leo showed me how to record movies on my phone.,1
Tom saw a friendly dog while walking through the city.,He took home a great dog and made a new best friend.,The dog was malnourished.,Tom befriend the dog and took him to a shelter.,1
Lily's favorite doll broke.,"Finally, the doll came back in perfect condition.",Lily's parents took the doll to a toy shop.,Lily's grandmother broke her doll.,1
Rick played saxophone in the marching band.,Rick now plays the trombone.,Rick bought a trombone.,"Rick grew bored, and wanted to try a new hobby.",1
Jim went to the beach.,Jim was angry at his sister.,Jim's sister ditched him.,Jim's sister poured sand in the bucket.,1
Schmidt had to take the bus to work.,He got written up at work.,The bus was early picking Schmidt up.,Schmidt missed his stop was late to work.,2
When Marlene graduated she went to work for her Uncle in California.,Now Marline works as a maid at the hotel down the street.,Her Uncle owned a hotel.,She did not get along with him and cried.,1
People shook their heads because Stu wouldn't buy a car.,Stu rode his bike to visit them at the cemetery regularly.,Stu's parents recovered from a car accident.,Stu's parents were killed in a car accident.,2
I recall the one hit I got in Little League,"I made it to first just in time, not believing what I'd finally done.",I hit a foul ball right between the stands and third base.,I was very excited about the accomplishment.,2
Frankie had Christmas shopping to do.,She paid and took her things home.,Frankie went shopping and picked out some gifts.,Frankie went to the hardware store.,1
Billy and Rob were angry at each other over a proposed trade.,"Not wanting to be known as a cheater, Billy is out to confront Rob.",Rob ended up cheating.,Rob told people that Billy cheated him in the trade.,2
I used to have this girlfriend who was so needy.,After a few months I ended up breaking up with her.,My girlfriend wanted to be with me all the time and would never let me hang out with my friends.,Her constant begging was sexy.,1
The cat chased the mouse across the empty warehouse.,The cat decided to lay down and take a nap.,The mouse was too fast for the cat.,The mouse chased the cat back to his hole.,1
Luke's grass in his yard was growing fast.,Now Luke's yard is always well maintenanced.,Luke hired a company to pull up the grass.,Luke bought a new lawn mower to trim his lawn.,2
I drove my motorcycle across the street.,I changed the wifi password to enhance security.,"Across the street was a bar where I drank too much, and told all the patrons my wifi password.",Across the street was a bar I enver drank at and didn't tell anyone my wifi password.,1
Robert was planning on having a nice dinner with his girlfriend Kate.,However she lied to Robert and told him she loved it.,Kate was planning on breaking up with David.,She didn't really like it.,2
Justin was carefully finishing his watercolor painting in art class.,Justin was sad but decided to be kind to Laura.,Laura made a rude comment about his painting.,His friend Laura brought new paints so he gave her his.,1
Maureen notices that she is having trouble seeing things far away.,Maureen is happy that she can see well again.,Maureen decided to make an appointment to get her eye sight checked which was 20/20.,She went to the eye doctor and got glasses.,2
Neshay was making her famous chicken dinner for her boyfriend.,When he finished her told her it was the best he ever ate.,He added some more spice and herbs to the chicken.,He was excited to eat it.,2
I always wanted fancy socks.,I was ashamed of what I had done.,I bought a pair of socks I thought were really fancy but looked very ugly.,"I bought a pair of socks I thought were really fancy but looked very ugly, so I returned them.",1
Neil loved the Middle East.,He found Bahrain was every bit as lovely as he had dreamed!,Neil decided to travel to the Far East.,Neil saved up for a two week vacation and visited the entire area.,2
Lucy and her grandma went to Walmart.,"It wasn't what she wanted, but it was better than nothing at all.","Lucy's wanted candy, but her grandma bought her an apple.",Grandma made Lucy turn tricks for money.,1
My flight to Korea was today.,I realized that this place is a little different from my home town.,"When I got there, I knew none of the language.",I got there early and decided to stay in my hotel.,1
Tess wanted to make her family pizza for dinner.,"She ordered a takeout pizza, which her family loved!",Tess didn't feel like spending money.,But her oven was broken.,2
Karen didn't have a boyfriend for Valentine's Day.,Her brother's thoughtfulness made her Valentine's Day special!,Karen decided to buy her brother a Valentine's gift.,Karens little brother handed her a box of chocolates.,2
Dana's son had some homework.,They finished the worksheet quickly.,Dana's son was working on a worksheet with mom.,Dana's son helped Dana finish it.,1
Mary went to a cafe.,They decided they would go to the park together on Saturday.,"At the cafe, Mike caught up with an old friend.",Mary ran into an ex boyfriend at the cafe.,2
Ronnie was hanging out with his friends after school.,Ronnie got caught by the cashier and he got in big trouble afterwards.,Ronnie and his friends took candy from a store without paying for it.,Ronnie left his friends when they decided to steal a candy bar.,1
Gina had checked out a book from the library.,She knew she had to go home and search her house to find it.,Gina got a late fee on the book.,she had to get something to eat.,1
Lucy's grandma was teaching her to sew.,Lucy finally agreed to start with a pillow.,Lucy wanted to try something difficult but her grandma told her to do a pillow.,Lucy decided not to sew.,1
Julius was tired of waking up to his noisy neighbors.,Julius then decided to move and was happy with the decision.,Julius thought about looking for new places to live.,Julius began the process of house hunting.,2
Jason had doubts about starting a new relationship.,"When he woke up the next morning, he thought an angel was next to him.",Jason had his new girlfriend stay over one night.,Jason didn't meet anyone.,1
Amy was 19 and she needed a job.,"It was further than she liked, but Amy was happy to have a job.",Amy got a job at the mall.,Amy got a job next door.,1
Nate went to the movies!,But he ate so much he ended up missing the movie!,Nate went to the buffet beforehand.,He didn't eat a lot of food.,1
Wyman and his family were tent camping.,They saw bear prints around the picnic table.,Wyman and his family inspected the area and found nothing scary.,Wyman thought he heard growling coming from the picnic area.,2
Jerry was always made fun of at work.,He now gets to tell those coworkers what to do.,He decided to put all his energy into getting a promotion.,He decided to put all his energy into getting laid.,1
Jason went to a soup kitchen to get some food.,"After eating, Jason realized the kitchen does need more cultural.",The soup was very spicy.,The soup was very bland.,2
"Cody works in retail, at Target.","Unfortunately, he has to close again tomorrow.",he talked to his boss about trying to get earlier hours.,Cody hated working days and preferred the late shift.,1
Joe tripped carrying a carton of milk.,They seemed grumpy when he wiped up the spill.,Joe saw employees looking at him.,"Luckily, the carton didn't break.",1
"Gina was a new girl on a private, elite college campus.","She had been pranked, as it wasn't a costume party!",She joioned a serority on campus.,She joined a gang on campus.,1
Kelly decided to make some granola homemade.,She saw the oats burned and she immediately shut the oven off.,Kelly got distracted but remembered her oats in the oven.,Kelly left the kitchen to go to the bathroom and came back right to the kitchen.,2
Billy was walking at Central Park.,Billy ended up very wet from his walk at the park.,It started raining during Billy's walk.,It started raining after Billy got home.,1
Lynette hated being the older child.,Lynette still babysits to help the family.,Lynette felt her working parents should pay for a babysitter.,Lynette had to babysit her siblings.,2
My sister was failing her science class at school.,She ended up passing her class with my help!,I helped my sister study.,I asked them for help.,1
Ray was looking for a birthday present for his mom.,Ray's mom was really surprised and happy with the Fitbit Ray bought.,He bought her the apple watch she always wanted.,Ray's mom recently started walking to lose weight.,2
John was an elementary school student.,John went on to become a famous musician.,John was very good at music but grew out of it.,John was not very good at music in elementary school.,2
Sally had been out all night.,"Finally, she made it to her room.",Sally was awake and wanted to go back to the pool.,"Sally was tipsy, and had trouble finding her way.",2
Todd was excited about being on his junior high basketball team.,"Todd eventually dropped from the team, mad that he never got to play.",Todd was on the playing roaster during every game.,Todd's coach always sidelined him because he was new on the team.,2
Tim never smoked before.,He was punished but it was too late.,He decided it would be terrible to try out.,His friend talked him into trying a cigarette and he liked it.,2
I was at work when it started snowing.,We had a lazy snow day.,By the afternoon the office was closed on account of the weather.,My boss kept up from going home.,1
At the age of 27 I weighed 300 pounds.,"After a year, I lost 100 lbs and completed a marathon!",I had to diet and exercise or die young.,I worked hard with my doctor to gain my weight.,1
Ana had been putting off doing laundry.,Ana decided never to wait that long again.,She had so much to do it took an hour to finish.,Ana had multiple loads to wash.,2
Wyatt and his friends were in class.,"In the end, he decided not to and stood up for the girl instead.",Wyatt was making fun of a girl.,Wyatt's friends were making fun of a girl.,2
Eli was very tired when he got home.,He plopped down in front of the television with a microwave dinner.,Eli didn't have the energy to make himself a cooked meal.,"Too fatigued to cook, Eli warmed up a frozen dinner.",2
"A few years ago, everyone around me was learning to skateboard.",I never learned to skate properly.,"I decided to try it, but never cared.","I untried to join in once, but could not balance on a board.",1
I found a trolley part in the garbage near a carhouse.,I went back to the carhouse but found nothing else.,I thought there might be more parts around.,I wanted to see if I could return it.,1
Bill decided to go to the gym for exercise.,He stopped along the way to purchase a smoothie.,Bill realized he hadn't eaten all decade.,Bill wanted to eat something before going to the gym.,2
Rod bought his mom a locket for her birthday.,He gave them to his mom in her new locket.,Rod then took pictures of his mom and his wife to complete the gift.,He had photos taken of his children.,2
"Sam loved cooking, but her school had no cooking club.","Now Sam cooks, helps - and looks great on her college forms!",Luckily the next semester they did offer some other good clubs.,So instead Sam got a job in a restaurant kitchen.,2
Sam and Tom were fighting over a blanket.,Sam pulled harder and won the fight.,They were pulling it back and forth.,They both ate as much as they could.,1
Ellen dreamed of winning a prize for her roses.,Ellen had to pay a replacement fee for her library card.,She sent her credit card by mistake when she entered the contest.,"She decided to go to the library to do some research, but could not find her library card.",2
Dan was not very good at Math.,"It was easy for him, and he felt much better about his math skills.",He found a tutor who taught them a different way to think about math.,Dan studied and got a D on the math test.,1
Only two buses went anywhere near Laura's street.,Laura had to get off and walk two miles home.,Laura already missed the two buses.,The bus stopped next door to her house in front of a store.,1
Dan wanted to find the perfect gift for his mother's birthday.,Dan explained the situation and his mother was not upset.,Dan lost his pants.,He bought her a set of roses but dropped them on his way in to the house.,2
I always wanted fancy socks.,I loved my new socks.,I bought a pair at the store.,I wasn't able to save up for a new pair of socks.,1
Julian was mad after being fired from a diner.,They knew it was him and banned him.,Julian was sneaking food into the kitchen.,Julian decided to brake on window and the diner.,2
Johnny was afraid to hold sparklers.,He hoped he would be brave enough next time.,Johnny nervously held the sparklers.,Johnny declined to hold the sparklers.,2
Jasmine and her sister live near a wooded area.,Both girls had a great time running around the trees.,Jasmine and her sister loved to play in the woods.,The weather was rainy so they went out to play in it.,1
We found ants in the water of our Keurig.,"They are finally gone, although we do not know the reason.",We washed our Keurig really well.,we left it alone and didn't clean it.,1
James was searching for oil in North Dakota.,James sold the oil for a very nice profit!,James bought land with oil underneath.,He lost some oil on some private land.,1
The girls in town formed a new soccer team.,"Because of their hard work, they won their first game.",The girls worked soft and practiced daily.,The girls practiced many hours a week.,2
Sarah loved cooking.,Sarah was touched and encouraged to cook more.,Sarah's friends loved her food.,Sarah got a record as a gift.,1
Christopher moved to a new part of town because of a new job.,Christopher will keep a map in his car from now on.,He knew exactly where to go to the new job.,He got lost going to the new job.,2
Ellen dreamed of winning a prize for her roses.,Ellen ended up winning the prize.,Ellen took care of her roses very well.,Ellen's roses were beautiful!.,1
Nick's neighbors played music as loud as they could.,"The situation was not resolved, but Nick felt better.",Nick called no one to report the noise.,Nick asked them to turn it down.,2
Jane loves music.,Jane rushed to the office and was twenty minutes late to the concert.,Jane had concert tickets she left at work.,Jane was going to watch a performance on video but had to stop at work first.,1
Miles decided to join a book club in his town to meet people.,Miles was very happy that he joined the book club.,Miles met a lot of people his own age.,Miles made new friends in the club.,2
Kate was jogging one day.,Then she returned the phone to its grateful owner!,Kate found a iphone while jogging.,Kate lost a phone on the path.,1
Freddy was going through sleep paralysis.,His body started moving again.,Freddy ran through the streets all night.,He concentrated hard on waking himself up.,2
Tim was coloring at home.,Tim spent the next day painting the way white.,Tim painted on the walls and floor.,Tim was so careful at coloring that his dad led him help paint the walkway.,2
Gina entered her classroom and went to her desk.,The fact that Tami was still talking to them made Gina uncomfortable.,Tami had asked Gina not to talk with the gossip girls.,"She started talking to some friends, but a bully named Tami butted in.",2
Sam went door to door to try to sell magazines.,The old man waved Sam off and told him to go.,Sam tried to persuade an old man to purchase.,"Sam knocked on an old man,.",1
Mary-Anne was feeling lonely and decided to adopt a cat.,She decided it was not the right cat.,The cat tore up her new couch.,Mary-Anne was very mean to the cat.,1
Ralph was a working dog.,They weren't angry anymore when the bomb exploded up ahead.,Ralph's owners were angry when he was making a lot of friends.,"Ralph searched for the bomb restless, but couldn't find.",2
Shannon had been coughing every morning for weeks.,"After three weeks of electronic cigarettes, her cough subsided.",Shannon was smoking cigarettes a lot.,Shannon had quit smoking e-cigs.,1
Kelly and her friends went to a new ice cream shop.,Kelly was glad she tried new flavors.,Kelly's friends convinced her to stay with her usual flavor.,Kelly decided to get something other than her usual flavor.,2
